,Country Name,FB_ATM_TOTL_P5_x,IC_TAX_TOTL_CP_ZS_x,cos_dist,my_cos_dist,euc_dist,Country Code,Long Name,Table Name,BAR_SCHL_1519,BAR_SCHL_1519_FE,BAR_SCHL_15UP,BAR_SCHL_15UP_FE,BAR_SCHL_2024,BAR_SCHL_2024_FE,BAR_SCHL_2529,BAR_SCHL_2529_FE,BAR_SCHL_25UP,BAR_SCHL_25UP_FE,BAR_SCHL_3034,BAR_SCHL_3034_FE,BAR_SCHL_3539,BAR_SCHL_3539_FE,BAR_SCHL_4044,BAR_SCHL_4044_FE,BAR_SCHL_4549,BAR_SCHL_4549_FE,BAR_SCHL_5054,BAR_SCHL_5054_FE,BAR_SCHL_5559,BAR_SCHL_5559_FE,BAR_SCHL_6064,BAR_SCHL_6064_FE,BAR_SCHL_6569,BAR_SCHL_6569_FE,BAR_SCHL_7074,BAR_SCHL_7074_FE,BAR_SCHL_75UP,BAR_SCHL_75UP_FE,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5_y,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS_y,IQ_WEF_PORT_XQ,SE_ADT_1524_LT_FE_ZS,SE_ADT_1524_LT_FM_ZS,SE_ADT_1524_LT_MA_ZS,SE_ADT_1524_LT_ZS,SE_ADT_LITR_FE_ZS,SE_ADT_LITR_MA_ZS,SE_ADT_LITR_ZS,SE_XPD_TOTL_GD_ZS,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,TM_TAX_MANF_SM_FN_ZS,UIS_EA_1_AG25T99,UIS_EA_1T6_AG25T99,UIS_EA_2_AG25T99,UIS_EA_2T6_AG25T99,UIS_EA_3_AG25T99,UIS_EA_3T6_AG25T99,UIS_EA_4_AG25T99,UIS_EA_4T6_AG25T99,UIS_EA_5_AG25T99,UIS_EA_5T8_AG25T99,UIS_EA_6_AG25T99,UIS_EA_6T8_AG25T99,UIS_EA_7_AG25T99,UIS_EA_7T8_AG25T99,UIS_EA_8_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56
0,United Arab Emirates,60.89727684,15.9,2.44796107676e-05,2.44796107676e-05,115.627615078,ARE,United Arab Emirates,United Arab Emirates,10.02,9.83,9.07,9.97,9.53,10.32,9.3,10.39,8.88,9.93,8.92,10.66,8.88,10.53,8.88,9.96,8.88,9.95,8.84,8.55,8.83,8.53,8.32,5.92,8.31,5.92,4.29,2.5,3.24,1.95,97.69783,,60.89727684,32.0,,15.9,6.472991241,99.10131,0.99492,99.60736,99.42795,95.75619,93.1306,93.83585,1.10944,77.59999847,28.79999924,6302492.0,4.63,11.75153,74.43691,15.59026,62.68538,24.51559,47.09512,4.62696,22.57954,,17.95257,17.95257,,,,,14.14972,9.67677,17.46125
1,Australia,160.7520453,47.6,0.000779462464081,0.000779462464081,12.8745645547,AUS,Commonwealth of Australia,Australia,10.81,10.95,11.54,11.6,11.19,11.26,12.04,12.39,11.77,11.81,12.0,12.22,11.74,11.91,12.68,12.85,12.11,12.13,12.08,12.09,11.38,11.12,10.53,10.3,10.48,10.21,10.39,10.1,10.32,10.03,100.0,,160.7520453,75.0,,47.6,4.986503444,,,,,,,,4.90641,61.20000076,38.90000153,12420090.0,3.29,8.91852,,19.04393,91.08077,30.39593,72.03684,4.43532,41.64091,10.46198,37.20559,20.98663,26.7436,4.77119,5.75698,0.98578,,,27.47249
2,Austria,119.4389744,51.7,0.012790250236,0.012790250236,54.208611398,AUT,Republic of Austria,Austria,5.93,5.99,9.6,8.87,10.71,10.77,11.59,11.58,9.89,9.0,11.63,11.62,11.17,11.01,10.37,9.92,10.18,9.49,10.33,9.54,9.5,8.42,9.31,8.21,8.85,7.6,8.15,6.71,7.57,6.22,100.0,,119.4389744,23.0,,51.7,4.017461786,,,,98.0055,,,,5.45065,57.90000153,53.79999924,4468626.0,4.05,,,22.69364,,49.4788,77.30636,9.22219,27.82756,18.60537,18.60537,,,,,,8.16027,11.63756,7.28747
3,Belgium,93.90762454,58.4,0.0470465201171,0.0470465201171,80.4926513856,BEL,Kingdom of Belgium,Belgium,8.45,8.59,10.69,10.52,11.74,11.95,12.32,12.5,10.78,10.54,12.58,12.74,12.19,12.33,12.19,12.33,11.23,11.18,11.26,11.2,10.31,10.02,10.36,10.08,8.92,8.55,8.92,8.56,7.74,7.22,100.0,,93.90762454,88.0,,58.4,6.308197974,,,,,,,,6.36516,48.79999924,39.0,4975258.0,4.05,11.44443,93.03236,17.30925,81.58793,31.29354,64.27868,2.46037,32.98514,0.27642,30.52476,17.86906,30.24835,11.8449,12.37929,0.53439,9.22585,9.57712,16.34012
4,Brunei Darussalam,79.62710595,8.7,0.00972397224983,0.00972397224983,99.8655838676,BRN,Brunei Darussalam,Brunei Darussalam,7.95,7.88,8.74,8.58,9.28,9.8,9.56,9.67,8.77,8.48,8.82,8.63,8.86,8.71,9.13,8.94,9.11,9.23,8.02,7.93,8.89,8.05,8.82,7.98,5.99,3.92,6.14,4.07,3.41,1.7,76.16138,,79.62710595,56.0,,8.7,4.7,99.71525,1.00216,99.50076,99.60434,95.11002,97.68482,96.4083,3.76595,61.29999924,,203304.0,1.49,,,,,,,,,,,,,,,,10.34535,8.70334,15.11647
5,Canada,222.2742686,21.1,0.0117966615017,0.0117966615017,54.2178306618,CAN,Canada,Canada,10.16,10.16,12.32,12.39,12.42,12.71,13.48,13.81,12.56,12.61,13.57,13.86,13.45,13.68,13.45,13.68,12.9,13.05,12.9,13.05,12.43,12.44,12.43,12.44,11.34,11.22,11.08,10.97,9.75,9.56,100.0,,222.2742686,137.0,,21.1,5.458973778,,,,,,,,5.27246,61.5,38.20000076,19726591.0,2.51,,,17.25101,,23.10867,82.74899,11.96574,59.64031,,47.67457,47.67457,,,,,19.02609,12.19469,9.08142
6,Switzerland,97.52859429,28.8,0.000750328621097,0.000750328621097,77.049020471,CHE,Switzerland,Switzerland,8.69,8.77,13.02,12.67,12.45,12.61,13.65,13.63,13.42,12.97,14.03,13.94,13.68,13.33,13.69,13.33,13.41,13.0,13.41,13.0,13.02,12.47,12.66,12.15,13.64,13.01,13.63,12.99,12.92,12.28,100.0,,97.52859429,39.0,,28.8,4.622662931,,,,,,,,5.04805,65.0,47.59999847,4752879.0,0.0,3.86842,,12.82603,95.74914,42.85273,82.92312,5.25208,40.07039,,34.8183,34.8183,,,,,8.17844,10.65232,5.8358
7,Cyprus,53.12688158,24.4,0.0165427349005,0.0165427349005,121.53121729,CYP,Republic of Cyprus,Cyprus,9.4,9.66,11.07,10.85,12.51,13.18,13.2,13.48,11.11,10.77,12.84,13.01,12.56,12.51,12.56,12.51,11.75,11.62,11.75,11.62,10.02,9.47,10.02,9.47,8.14,7.17,8.14,7.17,5.9,4.77,100.0,,53.12688158,137.0,,24.4,4.420815453,99.87934,1.00039,99.83996,99.85889,98.65401,99.46252,99.06569,6.64467,53.90000153,38.40000153,613733.0,4.05,14.66489,94.36194,9.80451,79.69705,34.1378,69.89255,1.52162,35.75474,9.34535,34.23312,24.3526,24.88777,,,0.53518,9.66562,9.77062,12.68324
8,Germany,118.1869095,48.8,0.0102334907628,0.0102334907628,55.1148259052,DEU,Federal Republic of Germany,Germany,7.75,7.89,12.37,12.06,12.17,12.3,13.09,13.2,12.69,12.3,13.3,13.27,13.25,13.06,13.25,13.06,13.21,12.97,13.2,12.97,13.04,12.58,12.2,11.79,11.93,11.4,11.92,11.39,11.4,10.79,100.0,,118.1869095,28.0,,48.8,5.609588206,,,,,,,,4.94831,56.90000153,59.70000076,42207318.0,4.05,3.32435,99.88375,14.34684,96.55941,49.91524,82.21257,6.3161,32.29733,25.98124,25.98124,,,,,,11.75844,14.33652,7.51864
9,Denmark,54.28569379,24.5,0.0153695440546,0.0153695440546,120.371405523,DNK,Kingdom of Denmark,Denmark,9.23,9.27,11.3,11.15,10.99,11.2,11.5,11.69,11.53,11.32,12.19,12.25,12.36,12.48,13.34,13.44,13.08,13.24,13.08,13.23,12.84,12.7,10.56,10.26,9.25,8.61,8.05,7.57,8.01,7.54,100.0,,54.28569379,38.0,,24.5,5.759602588,,,,,,,,8.5471,58.29999924,42.29999924,2917925.0,4.05,0.41506,,23.03587,99.58494,43.58138,76.54907,,32.96768,32.96768,32.96768,,,,,,10.04251,10.06155,17.68573
10,Spain,119.6278735,50.0,0.0108581614724,0.0108581614724,53.8025318448,ESP,Kingdom of Spain,Spain,9.6,9.79,10.27,10.14,10.68,11.16,11.43,11.94,10.3,10.1,11.63,12.07,11.16,11.41,11.17,11.41,11.24,11.1,11.24,11.09,9.29,8.83,8.36,7.91,8.79,8.06,8.79,8.06,6.98,6.35,100.0,,119.6278735,107.0,21.3,50.0,5.652581036,99.77376,1.00058,99.71571,99.74388,97.4737,98.7462,98.09797,4.36743,44.40000153,23.29999924,23342592.0,4.05,19.25007,89.12309,24.27187,69.87302,18.63033,45.60115,0.0,26.97082,,26.94193,26.94193,,,,,11.21062,11.58455,12.6389
11,Estonia,76.81975404,49.4,0.0517401463436,0.0517401463436,96.4207236858,EST,Republic of Estonia,Estonia,8.7,8.7,12.11,12.35,11.84,12.07,12.51,13.01,12.48,12.71,12.79,13.31,12.79,13.25,12.8,13.25,13.01,13.35,13.02,13.35,12.65,12.83,12.66,12.84,11.65,11.75,11.69,11.79,11.16,11.2,100.0,,76.81975404,91.0,28.7,49.4,5.547498771,99.97072,1.00008,99.96248,99.96649,99.80713,99.84683,99.82517,4.79262,57.29999924,51.70000076,687168.0,4.05,,,11.59036,,,88.40964,51.24919,,,37.16046,37.16046,,,,,7.91304,8.26007,10.74017
12,Finland,35.86609314,37.9,0.155179547372,0.155179547372,137.348508223,FIN,Republic of Finland,Finland,9.4,9.41,11.62,11.64,11.55,11.7,12.32,12.59,11.82,11.82,12.74,13.0,12.72,12.97,12.75,13.02,12.54,12.74,12.57,12.78,11.9,11.93,11.61,11.66,10.61,10.49,10.62,10.5,9.49,9.3,100.0,,35.86609314,42.0,,37.9,6.361369204,,,,,,,,7.19254,54.29999924,46.40000153,2714587.0,4.05,,,28.04627,,38.88605,71.95373,,,11.92887,33.06768,10.71565,21.13881,9.42443,10.42317,0.99873,9.02802,15.99444,18.9193
13,France,108.048267,62.7,0.0382316613548,0.0382316613548,67.6980030675,FRA,French Republic,France,9.81,9.91,10.68,10.49,11.98,12.17,12.6,12.72,10.64,10.4,12.61,12.66,12.02,12.03,12.03,12.04,11.14,11.05,11.16,11.06,9.98,9.68,10.01,9.73,8.75,8.36,8.77,8.38,7.28,6.94,100.0,,108.048267,71.0,,62.7,5.280860484,,,,,,,,5.53344,50.20000076,45.09999847,30057382.0,4.05,17.96038,98.43514,16.73526,80.47476,37.68082,63.7395,0.11108,26.05868,,25.9476,25.9476,,,,,14.67706,11.22372,21.28925
14,United Kingdom,129.7634366,32.0,2.19001007201e-05,2.19001007201e-05,44.9247884733,GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom,10.94,11.06,12.24,12.12,12.87,12.95,13.47,13.52,12.32,12.15,13.42,13.45,13.08,13.05,13.04,12.96,12.58,12.45,12.24,12.07,11.41,11.06,11.3,11.03,10.5,10.21,10.26,9.97,10.01,9.79,100.0,,129.7634366,79.0,,32.0,5.67227357,,,,,,,,5.72,58.20000076,41.90000153,32994128.0,4.05,,82.95189,21.46248,82.95189,30.03378,61.48941,,,7.86745,31.45563,16.46,23.58818,6.21177,7.12818,0.91641,16.2881,15.63258,16.42327
15,Greece,59.08688711,49.6,0.0995249270602,0.0995249270602,114.139013483,GRC,Hellenic Republic,Greece,9.25,9.29,10.3,10.05,12.04,12.35,12.91,13.52,10.26,9.96,12.53,12.98,12.09,12.29,12.09,12.29,11.1,10.91,11.1,10.91,9.54,9.05,9.54,9.05,7.52,6.87,7.52,6.87,5.91,5.17,100.0,,59.08688711,51.0,11.7,49.6,4.593618812,99.35951,0.99827,99.53137,99.44783,96.87846,98.52836,97.68686,3.96574,39.09999847,41.90000153,4926892.0,4.05,30.23232,93.3814,9.48681,63.14908,26.82054,53.66228,6.80842,26.84174,,20.03332,20.03332,,,,,8.09305,7.68323,20.78964
16,"Hong Kong SAR, China",49.77183612,22.8,0.0163655000501,0.0163655000501,125.103848156,HKG,Hong Kong Special Administrative Region of the People's Republic of China,"Hong Kong SAR, China",12.62,12.7,11.38,11.01,14.26,14.34,13.97,13.86,11.02,10.6,13.61,13.41,13.03,12.81,13.03,12.8,11.43,11.06,11.34,10.93,9.16,8.34,9.16,8.34,7.18,5.93,7.18,5.93,3.99,2.62,100.0,,49.77183612,28.0,,22.8,6.352012687,,,,,,,,3.57196,56.79999924,48.5,3745415.0,0.0,18.72461,94.11998,16.21729,75.39537,34.64714,59.17808,5.84034,24.53094,,18.6906,18.6906,,,,,17.756,,14.97417
17,Ireland,84.76546607,25.9,0.00115865213073,0.00115865213073,90.1336370103,IRL,Ireland,Ireland,10.59,10.63,12.03,12.16,11.91,12.19,12.7,12.92,12.2,12.31,12.72,12.89,12.21,12.41,14.19,14.38,13.17,13.38,13.2,13.41,11.78,12.0,11.0,11.25,9.37,9.51,9.36,9.5,7.91,7.74,100.0,,84.76546607,85.0,17.2,25.9,5.326941565,,,,,,,,5.84453,53.40000153,38.59999847,2184332.0,4.05,13.94909,,16.29894,79.56229,27.23843,63.26335,5.71022,36.02492,4.73324,30.3147,16.80455,25.58146,8.77691,8.77691,,,,15.38655
18,Iceland,71.52865079,29.6,0.0103452941913,0.0103452941913,102.556688774,ISL,Republic of Iceland,Iceland,10.8,10.86,11.05,11.19,14.47,14.43,13.75,13.95,10.59,10.76,12.62,12.78,11.84,12.13,11.22,11.65,10.47,10.94,10.08,10.46,9.76,10.16,9.1,9.11,8.21,8.26,7.89,7.85,7.26,7.11,100.0,,71.52865079,22.0,,29.6,5.976981395,,,,,,,,7.03659,70.09999847,36.79999924,192535.0,2.55,3.959054817,,33.43736304,91.29722314,28.32732895,57.8598601,1.980241904,29.53253115,,27.55228925,27.55228925,,,,,,12.45239,8.71305
19,Israel,126.1091054,30.6,5.3564933679e-05,5.3564933679e-05,48.8209214066,ISR,State of Israel,Israel,9.75,9.8,12.32,12.32,11.88,12.12,12.84,13.29,12.76,12.69,13.16,13.41,13.6,13.67,13.67,13.72,13.15,13.14,13.14,13.13,12.78,12.61,12.79,12.63,11.25,10.66,11.25,10.66,9.82,9.36,100.0,,126.1091054,102.0,33.0,30.6,4.006035322,98.04603,0.98982,99.05457,98.56286,88.67472,94.96339,91.75141,5.63281,59.09999847,40.79999924,3738337.0,3.23,9.15513,94.91394,5.83669,85.75881,35.45917,79.92212,,44.46295,,44.46295,44.46295,,,,,11.33172,8.68793,6.28413
20,Italy,91.85098876,64.8,0.0662353106555,0.0662353106555,83.8780572863,ITA,Italian Republic,Italy,8.66,8.72,9.63,9.35,11.92,12.17,12.29,12.57,9.54,9.21,11.97,12.34,11.32,11.55,11.32,11.55,10.6,10.6,10.6,10.59,9.16,8.75,9.11,8.69,6.77,6.07,6.77,6.07,4.69,4.03,100.0,,91.85098876,124.0,,64.8,4.320676729,99.93744,1.00007,99.93021,99.93372,98.97256,99.35115,99.15498,4.14054,43.09999847,47.20000076,25785202.0,4.05,18.70729,94.38955,28.39826,75.68226,33.7432,47.284,0.78999,13.54081,,12.75082,12.75082,,,,,10.83621,11.75716,19.02737
21,Japan,127.4960674,51.3,0.00898423284141,0.00898423284141,46.1841170836,JPN,Japan,Japan,10.95,10.95,11.6,11.45,12.69,12.98,13.38,13.73,11.52,11.34,13.37,13.73,13.01,13.25,12.98,13.16,12.75,12.82,12.75,12.81,11.21,11.12,11.22,11.12,9.73,9.49,9.81,9.56,8.44,8.2,100.0,,127.4960674,97.7,,51.3,5.400942233,,,,,,,,3.81849,56.90000153,47.70000076,65302348.0,2.5,,86.44626,16.6617,,39.90775,69.78456,,,,29.87681,29.87681,,,,,12.96262,10.5074,7.12377
22,"Korea, Rep.",290.6606232,33.2,0.00905391535248,0.00905391535248,118.063005877,KOR,Republic of Korea,"Korea, Rep.",12.46,12.47,12.05,11.45,13.93,14.16,14.7,14.87,11.89,11.15,14.57,14.55,14.02,13.87,13.5,13.21,12.75,12.24,11.63,10.94,10.55,9.73,9.49,8.4,8.13,6.72,6.55,5.03,4.96,3.58,100.0,,290.6606232,18.0,17.6,33.2,5.234806204,,,,,,,,4.61823,58.79999924,42.0,26356229.0,7.36,11.40336,94.30453,10.17638,82.90117,37.4038,72.7248,,,10.96325,35.32099,20.8145,24.35774,2.9644,3.54324,0.57884,16.78315,14.63593,14.66233
23,Kuwait,58.50080618,13.0,0.000441925103976,0.000441925103976,118.676031086,KWT,State of Kuwait,Kuwait,5.67,5.8,6.34,6.85,7.42,7.91,6.33,7.43,6.26,6.81,6.05,7.15,6.25,6.9,6.25,6.9,6.7,6.96,6.7,6.96,6.7,5.64,6.7,5.64,3.7,1.98,3.7,1.98,3.7,1.98,97.69783,,58.50080618,64.0,,13.0,3.976525742,99.48653,0.99902,99.58376,99.53942,94.97915,96.86593,96.15905,3.76001,66.5,20.70000076,1992954.0,4.63,6.91949,57.74994,22.49374,50.83045,14.56506,28.33671,,13.77165,5.05985,,8.31939,8.7118,,0.3924,,8.07498,6.76887,17.02818
24,Lithuania,51.69088142,42.6,0.0956257958787,0.0956257958787,121.399564566,LTU,Republic of Lithuania,Lithuania,7.96,7.95,10.89,10.85,11.9,12.11,11.43,11.88,11.05,10.97,11.19,11.54,13.01,13.29,13.01,13.28,11.93,12.13,11.39,11.6,11.02,11.07,11.02,11.08,9.31,9.12,9.31,9.12,6.61,6.32,100.0,,51.69088142,95.0,18.0,42.6,4.854908751,99.91949,1.00021,99.89894,99.90899,99.83937,99.79613,99.81988,17.69513,54.29999924,55.0,1537729.0,4.05,6.45041,98.73986,9.97937,92.28946,32.71897,82.31009,19.70719,49.59112,3.49866,29.88393,25.94252,26.38527,,0.44275,0.44275,7.81534,8.81443,11.71386
25,Luxembourg,106.2910879,20.1,0.00189055068224,0.00189055068224,70.9060247824,LUX,Grand Duchy of Luxembourg,Luxembourg,8.02,8.14,10.99,10.46,11.41,11.21,13.05,12.93,11.22,10.6,12.71,12.84,12.13,11.83,12.13,11.83,11.03,10.49,10.88,10.35,10.61,9.78,10.48,9.66,9.56,8.59,9.56,8.48,9.12,7.87,100.0,,106.2910879,56.0,,20.1,4.682100181,,,,,,,,3.60224,53.90000153,34.70000076,266117.0,4.05,,,21.702,,,78.298,39.36985,,,38.92815,38.92815,,,,,10.00701,6.57126,3.75849
26,Malta,56.28187087,41.3,0.0730738140212,0.0730738140212,116.830548802,MLT,Republic of Malta,Malta,10.27,10.37,10.52,10.17,12.74,13.12,12.92,13.25,10.33,9.89,12.47,12.52,12.27,12.19,12.29,12.2,11.13,10.86,9.45,8.98,8.5,7.91,8.77,8.28,8.08,7.44,7.56,6.78,6.24,5.31,100.0,,56.28187087,121.0,,41.3,5.232202516,99.50145,1.00665,98.84367,99.16156,95.74731,92.51207,94.1388,6.75966,48.79999924,30.70000076,189081.0,4.05,22.79572,98.43511,41.15889,75.63939,11.04359,34.4805,7.29987,23.43691,3.04898,16.13704,8.85195,13.08807,3.96709,4.23611,0.26903,6.91793,8.65706,8.08074
27,Netherlands,50.57684678,41.0,0.0922063125451,0.0922063125451,122.540958383,NLD,Kingdom of the Netherlands,Netherlands,9.06,9.15,11.39,11.16,11.67,11.92,12.62,12.84,11.6,11.29,12.77,12.97,12.27,12.26,12.28,12.26,11.86,11.67,11.86,11.66,11.25,10.74,11.26,10.75,10.41,9.67,10.41,9.67,9.64,9.05,100.0,,50.57684678,110.0,,41.0,6.766418773,,,,,,,,5.51428,59.70000076,42.40000153,9019299.0,4.05,8.89078,96.64676,19.51365,87.75597,38.51536,68.24232,0.40102,29.72696,2.61092,29.32594,16.83447,26.71502,9.32594,9.88055,0.55461,13.55298,14.76096,13.35461
28,Norway,48.6231152,39.5,0.0926425715472,0.0926425715472,124.538121575,NOR,Kingdom of Norway,Norway,10.05,10.17,11.59,11.68,10.71,10.88,10.89,11.19,11.8,11.87,11.05,11.44,11.68,12.03,11.68,12.03,12.64,12.86,12.64,12.86,12.94,12.87,12.06,12.0,11.72,11.5,11.72,11.5,11.06,10.83,100.0,,48.6231152,66.0,,39.5,5.532298957,,,,,,,,7.37183,62.59999847,41.09999847,2726992.0,0.65,0.39087,97.45048,23.00502,97.05961,39.74621,74.05459,2.89652,34.30838,,31.41186,31.41186,,,,,8.53176,7.30524,10.45972
29,New Zealand,70.73822573,34.3,0.0205513846934,0.0205513846934,102.794514233,NZL,New Zealand,New Zealand,10.67,10.87,10.98,11.37,8.4,8.83,11.2,12.18,11.3,11.69,12.4,12.95,11.5,11.72,12.66,13.08,12.12,12.58,12.13,12.59,11.35,11.63,8.53,8.81,9.86,10.09,9.95,10.17,9.79,9.82,100.0,,70.73822573,58.0,,34.3,5.466629383,,,,,,,,7.25271,63.90000153,41.20000076,2433510.0,2.43,,,29.53215,,20.59376,65.62267,10.27205,45.02891,,34.75685,34.75685,,,,,14.8457,13.92247,17.15687
30,Panama,60.8394214,37.2,0.0447806723966,0.0447806723966,112.443852125,PAN,Republic of Panama,Panama,8.76,9.02,9.27,9.51,10.66,10.97,10.66,11.03,9.15,9.37,10.39,10.77,9.96,10.28,9.96,10.28,9.49,9.65,9.49,9.65,7.86,7.91,7.86,7.91,6.25,6.28,6.25,6.28,4.98,5.12,90.87544,25.8,60.8394214,35.0,22.5,37.2,6.252390009,97.99663,0.99737,98.25523,98.12843,94.42599,95.66445,95.04833,3.29343,62.59999847,44.09999847,1837203.0,5.44,21.01712,82.15266,18.37954,61.13554,20.14724,42.756,1.37307,22.60876,5.23694,21.23569,13.64034,15.99875,2.10311,2.35841,0.25529,16.62432,13.98376,10.87669
31,Portugal,177.6906379,41.0,0.000233864197513,0.000233864197513,5.44388235359,PRT,Portuguese Republic,Portugal,8.76,9.0,7.52,7.42,10.56,10.76,10.75,11.31,7.2,7.08,10.03,10.7,8.56,8.94,8.57,8.94,8.48,8.75,8.49,8.75,7.27,7.03,5.35,5.08,3.61,3.07,3.6,3.07,2.48,2.03,100.0,,177.6906379,52.0,12.7,41.0,5.304742397,99.63047,1.00083,99.54785,99.58836,94.38457,97.08137,95.67814,5.12129,51.70000076,24.70000076,5379280.0,4.05,40.84873,88.80422,17.45906,47.95549,14.77963,30.49643,0.33186,15.7168,,15.38494,15.38494,,,,,10.43564,9.18652,10.45601
32,Qatar,61.37663399,11.3,0.00219879472151,0.00219879472151,116.366578662,QAT,State of Qatar,Qatar,9.12,9.48,8.43,9.55,8.2,9.88,8.2,9.99,8.45,9.56,8.36,10.13,8.6,9.89,8.6,9.89,8.83,9.33,8.83,9.33,8.6,6.97,8.61,6.97,6.47,3.78,6.47,3.78,3.74,2.36,97.69783,,61.37663399,90.0,,11.3,5.595322221,99.72921,1.01485,98.27006,98.62063,97.28117,97.87538,97.75735,3.52539,86.40000153,,1593886.0,4.63,14.14753,83.63504,23.42061,69.48751,21.04825,46.0669,4.50477,25.01865,,,20.51388,20.51388,,,,10.76287,9.5617,12.71012
33,Russian Federation,184.6976969,47.0,3.0765694603e-07,3.0765694603e-07,12.020811582,RUS,Russian Federation,Russian Federation,9.0,8.98,11.53,11.4,11.75,11.62,11.85,11.96,11.73,11.59,11.76,11.88,13.8,13.9,13.81,13.93,12.77,12.88,12.04,12.17,11.81,11.91,11.04,11.07,10.11,10.02,9.06,8.89,7.05,6.79,100.0,,184.6976969,160.5,12.6,47.0,3.938319804,99.7524,1.00096,99.65695,99.70373,99.715,99.72784,99.72078,4.15467,60.5,39.5,76754167.0,7.42,5.53559,96.42502,8.86,90.88944,21.92853,82.02943,,,58.09175,60.1009,0.84003,2.00915,0.51963,1.16913,0.64949,,,14.41403
34,Singapore,59.32291633,18.4,0.00137052981403,0.00137052981403,116.583519643,SGP,Republic of Singapore,Singapore,11.97,12.02,10.81,10.34,13.59,13.96,14.4,14.48,10.63,10.12,14.24,14.2,13.54,13.32,12.39,12.14,11.0,10.74,9.75,9.36,8.88,8.08,7.53,6.49,5.66,4.46,4.51,3.19,2.55,1.6,100.0,,59.32291633,31.0,,18.4,6.66474054,99.89971,0.99996,99.90372,99.90175,95.08608,98.65672,96.83772,2.90507,65.59999847,30.29999924,3110343.0,0.0,6.94965,85.08542,9.36236,78.13577,18.77716,68.77342,8.70673,49.99625,13.95175,41.28952,27.33778,27.33778,,,,14.91591,14.90509,13.54991
35,Sweden,40.24318317,49.1,0.195409713444,0.195409713444,132.942039513,SWE,Kingdom of Sweden,Sweden,9.05,9.14,11.64,11.76,11.46,11.58,12.27,12.61,11.89,12.0,12.61,12.95,12.63,12.87,12.63,12.87,12.3,12.56,12.3,12.55,11.74,12.01,12.58,12.87,11.09,11.25,11.09,11.25,9.12,8.88,100.0,,40.24318317,52.0,39.1,49.1,5.620067571,,,,,,,,7.65619,58.90000153,47.20000076,5146596.0,4.05,10.88991,98.34854,14.7626,87.45863,37.3687,72.69603,5.31953,35.32733,8.33193,30.0078,11.46417,21.67587,9.0528,10.21171,1.15891,9.49987,9.54331,13.98772
36,Ukraine,94.55598808,52.2,0.0325949985358,0.0325949985358,78.9649151183,UKR,Ukraine,Ukraine,8.29,8.15,11.15,11.11,11.41,11.33,10.84,10.91,11.34,11.29,10.7,10.93,13.17,13.42,13.32,13.61,12.4,12.64,11.82,12.07,11.66,11.77,11.67,11.78,10.28,10.1,10.23,10.03,7.54,7.04,100.0,,94.55598808,263.0,16.6,52.2,3.161451566,99.80673,1.00087,99.72038,99.76256,99.74154,99.79303,99.76476,6.67166,55.0,2.099999905,23089480.0,4.07,8.60397,96.7847,14.16576,88.18073,36.02941,74.01497,0.0,37.98556,21.30723,37.98556,0.46189,16.67833,16.21644,16.21644,,,,11.01798
37,United States,173.0834853,43.9,1.11022302463e-16,1.11022302463e-16,0.0,USA,United States of America,United States,10.62,10.67,13.18,13.23,13.42,13.58,13.73,13.94,13.42,13.44,13.67,13.84,13.65,13.77,13.62,13.77,13.49,13.6,13.43,13.47,13.5,13.49,13.53,13.45,13.29,13.12,12.83,12.67,12.49,12.3,100.0,,173.0834853,89.6,,43.9,5.72790979,,,,,,,,5.2239,58.5,58.0,161048950.0,3.38,3.66249,98.86702,7.05423,95.20453,46.64564,88.15031,,,9.84401,41.50467,20.09422,31.66066,9.88928,11.56644,1.67716,14.71113,14.67932,12.75795
